name,paper_author,team_lead,projects,affiliation_2024,sector_2024,github_handle
Jan Weinreich,0,1,15,"Laboratory for Computational Molecular Design, EPFL, Switzerland",,janweinreich
Benjamin Weiser,1,0,32,"McGill University, Montréal, QC H3A 0G4. Canada.",Academia,
Geemi Wellawatte,1,1,41,"ETH Zurich, EPFL, Station 06",Academia,geemi725
Alexander Wieczorek,1,0,7,"Empa - Swiss Federal Laboratories for Materials Science and Technology, Dübendorf",Government,Alex6022
Tim Würger,1,1,7,"Helmholtz-Zentrum Hereon, Germany.",Academia,koerper
Ilya Yakavets,1,0,20,"Acceleration Consortium, University of Toronto, Toronto",Academia,yakavetsiv
Elisa Margarita Mendoza Zamarripa,0,0,25,"Tokyo, Japan",Industry,
Mohammad Zargartalebi,0,0,34,University of Toronto,Academia,
Jakob Zeitler,1,1,1;2;12;13,"Matterhorn Studio, Oxford, United Kingdom.",Industry,jakobzeitler
Sylvester Zhang,1,0,25;32,"McGill University, Montréal, QC H3A 0G4. Canada.",Academia,
Yimu Zhao,1,0,20,"Acceleration Consortium, University of Toronto, Toronto",Academia,
Yanqiao Zhu,1,0,40,"University of California, Los Angeles, Los Angles",Academia,SXKDZ
Ruijie (Ray) Zhu,1,0,9,"University of Chicago, Chicago, United States.",Academia,
Ray Zhu,0,1,9,University of Chicago,,Ray16
Yunheng Zou,1,0,17,"University of Waterloo, Waterloo, Ontario",Academia,yunhzou
Can Özkan,1,1,7,"TU Delft, Mekelweg 5, the Netherlands.",Academia,canozkan42
Adrian Šošić,1,0,26,"Merck KGaA, Darmstadt, Germany",Industry,
